,count
2018-12-26,1
2019-05-02,1
2019-07-23,1
2019-08-04,1
2019-08-25,1
2019-09-01,1
2019-09-15,1
2019-09-20,2
2019-09-24,2
2019-09-28,1
2019-09-29,44
2019-09-30,42
2019-10-01,40
2019-10-02,46
2019-10-03,55
2019-10-04,44
2019-10-05,56
2019-10-06,53
2019-10-07,52
2019-10-08,40
2019-10-09,54
2019-10-10,47
2019-10-11,60
2019-10-12,34
2019-10-13,63
2019-10-14,47
2019-10-15,44
2019-10-16,43
2019-10-17,49
2019-10-18,50
2019-10-19,59
2019-10-20,62
2019-10-21,58
2019-10-22,40
2019-10-23,54
2019-10-24,54
2019-10-25,49
2019-10-26,54
2019-10-27,48
2019-10-28,49
2019-10-29,42
2019-10-30,44
2019-10-31,39
2019-11-01,51
2019-11-02,76
2019-11-03,63
2019-11-04,38
2019-11-05,54
2019-11-06,41
2019-11-07,50
