date,count,
2019-09-20,49,
2019-09-21,65,
2019-09-22,57,
2019-09-23,53,
2019-09-24,58,
2019-09-25,66,
2019-09-26,42,
2019-09-27,43,
2019-09-28,47,
2019-09-29,44,
2019-09-30,42,
2019-10-01,40,
2019-10-02,46,
2019-10-03,55,
2019-10-04,44,
2019-10-05,56,
2019-10-06,51,
2019-10-07,52,
2019-10-08,38,
2019-10-09,53,
2019-10-10,48,
2019-10-11,60,
2019-10-12,34,
2019-10-13,63,
2019-10-14,47,
2019-10-15,43,
2019-10-16,45,
2019-10-17,48,
2019-10-18,47,
2019-10-19,59,
2019-10-20,63,
2019-10-21,53,
2019-10-22,41,
2019-10-23,54,
2019-10-24,54,
2019-10-25,48,
2019-10-26,54,
2019-10-27,48,
2019-10-28,49,
2019-10-29,43,
2019-10-30,44,
2019-10-31,38,
2019-11-01,51,
2019-11-02,65,
2019-11-03,60,
2019-11-04,39,
2019-11-05,54,
2019-11-06,39,
2019-11-07,48,
2019-11-08,56,
2019-11-09,52,
2019-11-10,58,
2019-11-11,44,
2019-11-12,41,
2019-11-13,83,
2019-11-14,7,
