,count
2016-12-20,1
2019-04-21,1
2019-05-13,1
2019-05-15,1
2019-06-01,1
2019-06-05,1
2019-06-07,1
2019-07-12,1
2019-08-10,1
2019-08-28,1
2019-09-12,2
2019-09-13,52
2019-09-14,42
2019-09-15,48
2019-09-16,29
2019-09-17,35
2019-09-18,32
2019-09-19,33
2019-09-20,23
2019-09-21,49
2019-09-22,39
2019-09-23,33
2019-09-24,29
2019-09-25,31
2019-09-26,31
2019-09-27,37
2019-09-28,37
2019-09-29,37
2019-09-30,31
2019-10-01,24
2019-10-02,39
2019-10-03,34
2019-10-04,45
2019-10-05,37
2019-10-06,41
2019-10-07,34
2019-10-08,40
2019-10-09,43
2019-10-10,43
2019-10-11,33
2019-10-12,38
2019-10-13,46
2019-10-14,19
2019-10-15,48
2019-10-16,34
2019-10-17,31
2019-10-18,40
2019-10-19,40
2019-10-20,42
2019-10-21,39
2019-10-22,22
2019-10-23,38
2019-10-24,37
2019-10-25,39
2019-10-26,26
2019-10-27,31
2019-10-28,33
2019-10-29,33
2019-10-30,32
2019-10-31,32
2019-11-01,33
2019-11-02,47
2019-11-03,40
2019-11-04,30
2019-11-05,37
2019-11-06,35
2019-11-07,5
