date,count
2019-09-06,37
2019-09-07,39
2019-09-08,58
2019-09-09,38
2019-09-10,40
2019-09-11,49
2019-09-12,56
2019-09-13,52
2019-09-14,42
2019-09-15,48
2019-09-16,29
2019-09-17,35
2019-09-18,32
2019-09-19,31
2019-09-20,23
2019-09-21,51
2019-09-22,39
2019-09-23,33
2019-09-24,29
2019-09-25,31
2019-09-26,31
2019-09-27,37
2019-09-28,36
2019-09-29,36
2019-09-30,30
2019-10-01,26
2019-10-02,38
2019-10-03,33
2019-10-04,43
2019-10-05,35
2019-10-06,41
2019-10-07,33
2019-10-08,37
2019-10-09,42
2019-10-10,42
2019-10-11,35
2019-10-12,37
2019-10-13,44
2019-10-14,19
2019-10-15,47
2019-10-16,33
2019-10-17,30
2019-10-18,39
2019-10-19,39
2019-10-20,41
2019-10-21,34
2019-10-22,22
2019-10-23,38
2019-10-24,37
2019-10-25,40
2019-10-26,28
2019-10-27,32
2019-10-28,32
2019-10-29,34
2019-10-30,33
2019-10-31,31
2019-11-01,30
2019-11-02,47
2019-11-03,37
2019-11-04,29
2019-11-05,35
2019-11-06,34
2019-11-07,36
2019-11-08,35
2019-11-09,46
2019-11-10,41
2019-11-11,21
2019-11-12,44
2019-11-13,38
2019-11-14,57
2019-11-15,38
2019-11-16,35
2019-11-17,50
2019-11-18,34
2019-11-19,38
2019-11-20,29
2019-11-21,37
2019-11-22,33
2019-11-23,38
2019-11-24,39
