,count
2017-03-24,1
2018-01-09,1
2018-10-19,1
2019-07-15,1
2019-09-08,1
2019-09-12,1
2019-09-17,1
2019-09-23,1
2019-09-25,1
2019-09-26,1
2019-09-27,1
2019-09-28,1
2019-09-30,1
2019-10-04,1
2019-10-08,1
2019-10-11,1
2019-10-17,4
2019-10-18,2
2019-10-19,40
2019-10-20,126
2019-10-21,122
2019-10-22,105
2019-10-23,106
2019-10-24,129
2019-10-25,100
2019-10-26,99
2019-10-27,92
2019-10-28,84
2019-10-29,98
2019-10-30,104
2019-10-31,89
2019-11-01,92
2019-11-02,90
2019-11-03,78
2019-11-04,105
2019-11-05,99
2019-11-06,107
2019-11-07,110
2019-11-08,1
error,2
