date,count
2019-10-15,469
2019-10-16,120
2019-10-17,126
2019-10-18,122
2019-10-19,40
2019-10-20,126
2019-10-21,122
2019-10-22,105
2019-10-23,106
2019-10-24,129
2019-10-25,99
2019-10-26,98
2019-10-27,90
2019-10-28,83
2019-10-29,96
2019-10-30,102
2019-10-31,86
2019-11-01,90
2019-11-02,90
2019-11-03,77
2019-11-04,102
2019-11-05,96
2019-11-06,107
2019-11-07,110
2019-11-08,98
2019-11-09,101
2019-11-10,105
2019-11-11,103
2019-11-12,112
2019-11-13,102
2019-11-14,106
2019-11-15,95
2019-11-16,77
2019-11-17,95
2019-11-18,105
2019-11-19,112
2019-11-20,91
2019-11-21,98
2019-11-22,120
2019-11-23,134
2019-11-24,136
