,word,freq
0,네네치킨,50
1,먹스타그램,40
2,치킨,32
3,스노윙치즈,30
4,좋아요,27
5,야식,26
6,맞팔,25
7,일상,24
8,먹방,23
9,선팔,19
10,daily,18
11,치킨이떡볶이라면,17
12,양념치킨,16
13,치맥,15
14,chicken,14
15,후라이드,14
16,매콤치즈스노윙,14
17,인스타그램,14
18,맛스타그램,14
19,굽네치킨,13
20,치킨스타그램,13
21,술스타그램,13
22,koreanfood,13
23,소통,12
24,쇼킹핫,12
25,치킨추천,12
26,핫블링,12
27,저녁,9
28,댓글,9
29,먹부림,9
30,떡볶이,9
31,후라이드치킨,9
32,bhc,9
33,배달음식,9
34,f4f,8
35,좋반,8
36,food,7
37,치느님,7
38,치킨맛집,6
39,푸드스타그램,6
40,instafood,5
41,그럼요,5
42,당연하죠,4
43,야식스타그램,4
44,순살,3
45,육아,3
46,저녁메뉴,3
47,라면땅,3
48,양념반후라이드반,3
49,데일리,3
